;;;StructTreeRoot;Document;DocumentFragment;Art;Part;Div;Sect;Aside;BlockQuote;NonStruct;TOC;TOCI;Index;Private;Title;Sub;Quote;Note;Reference;BibEntry;P;Hn;H;Lbl;Code;Em;Strong;Span;Link;Annot;Form;Ruby;RB;RT;RP;Warichu;WT;WP;FENote;L;LI;LBody;Table;TR;TH;TD;THead;TBody;TFoot;Caption;Figure;Formula;
Document;;document level;1;0..n;0..n;∅;‡;‡;∅;0..n;0..n;‡;∅;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;Document
DocumentFragment;;document level;∅;0..n;0..n;0..n;‡;‡;0..n;0..n;0..n;‡;∅;∅;∅;0..n;∅;∅;∅;∅*;∅;∅;∅;∅;∅;∅;∅*;∅;∅;∅;∅*;∅*;∅;∅;∅;∅;∅;∅;∅;∅;∅*;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅*;∅;∅;DocumentFragment
Art;1.7;grouping;∅;0..n;0..n;∅;‡;‡;0..n;0..n;0..n;‡;∅;∅;∅;0..n;∅;∅;∅;0..n;∅;∅;∅;0..1;0..1;∅;∅;∅;∅;∅;0..n;0..n;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;0..n;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;∅;Art
Part;;grouping;∅;0..n;0..n;0..n;‡;‡;0..n;0..n;0..n;‡;∅;∅;0..n;0..n;0..n;∅;∅;0..n;∅;0..n;∅;∅;∅;∅;0..n;∅;∅;∅;∅*;∅*;∅*;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;0..n;Part
Div;;grouping;∅;0..n;0..n;0..n;‡;‡;0..n;0..n;0..n;‡;0..n;0..n;0..n;0..n;0..n;∅;∅;0..n;∅;0..n;∅;∅;∅;∅;0..n;∅;∅;∅;0..n;0..n;0..n;∅;∅;∅;∅;∅;∅;∅;0..n;∅;0..n;0..n;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;Div
Sect;;grouping;∅;0..n;0..n;0..n;‡;‡;0..n;0..n;0..n;‡;∅;∅;0..n;0..n;∅;∅;∅;0..n;∅;∅;∅;0..1;0..1;∅;∅;∅;∅;∅;0..n;0..n;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;0..n;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;∅;Sect
Aside;;grouping;∅;0..n;0..n;0..n;‡;‡;0..n;∅;∅;‡;∅;∅;∅;0..n;0..n;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅*;∅*;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;0..n;Aside
BlockQuote;1.7;grouping?;∅;0..n;0..n;0..n;‡;‡;0..n;0..n;0..n;‡;∅;∅;∅;0..n;∅;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅*;∅*;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;0..n;BlockQuote
NonStruct;;grouping;∅;0..n;0..n;0..n;‡;‡;0..n;0..n;0..n;‡;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;NonStruct
TOC;1.7;grouping;∅;0..n;0..n;0..n;‡;‡;0..n;0..n;0..n;‡;0..n;0..n;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;TOC
